"","","La liste des adhérents au 30-04-2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Id","Nom","Prénom","Adresse","CP","Ville","Email","Téléphone","Date de naissance","Lieu de naissance","Montant cotisation","Moyen de paiement","Etat cotisation","Date d'adhésion","Est admin","Est inscrit à la bibliothèque","Catégorie Fourmi","Montant du dépôt permanent","Date de fin de responsabilité civile","Justificatif d'identité","Justificatif de domicile"
"407","Gauthier","Camille","avenue Petit","13200","Arles","daniel.mallet@laposte.net","0917254521","19/08/1989","RemyBourg","10€","Liquide","Payée","19/04/2021","Oui","Oui","Verte","120€","08/05/2021","Non","Oui"
"408","Chauvet","Marianne","2, rue Peron","13200","Arles","claude88@ifrance.com","+33 4 32 31 60 45","02/07/1960","Bertrand-sur-Barbe","10€","Liquide","Exonéré","19/04/2021","Non","Oui","Verte","60€","09/09/2020","Oui","Oui"
"409","Barre","Hélène","rue Théophile Bousquet","13200","Arles","froyer@bouvet.fr","+33 (0)7 02 28 85 69","18/02/1985","Leclercq","10€","Liquide","Exonéré","19/04/2021","Non","Non"," /"," /"," /","Non","Non"
"410","Mendes","Victoire","boulevard de Rousset","13200","Arles","marianne73@bouygtel.fr","04 38 19 53 09","28/03/1987","Michaud","10€","Liquide","Exonéré","18/04/2020","Non","Oui","Verte","120€","04/12/2021","Non","Oui"
"411","Denis","Inès","71, boulevard Henry","13200","Arles","audrey45@bouygtel.fr","+33 7 32 42 62 00","28/12/1956","Tessier","10€","Liquide","Due","19/04/2021","Oui","Oui","Verte","60€","27/07/2021","Non","Oui"
"412","Brunel","Thibault","6, chemin Adélaïde Leleu","13200","Arles","etienne.letellier@colas.fr","+33 (0)9 72 73 50 04","27/08/2002","Morvan","10€","Liquide","Payée","19/04/2021","Non","Oui","Dorée","60€"," /","Oui","Oui"
"413","Pereira","Antoine","30, rue Besson","13200","Arles","robin.helene@mallet.com","0352323146","31/07/1957","Arnaud","10€","Liquide","Payée","19/04/2021","Oui","Oui","Bleue","30€","21/08/2021","Oui","Oui"
"414","Hamon","Luc","35, rue de Turpin","13200","Arles","henri.durand@lecoq.com","0706451859","28/04/2008","Potier-les-Bains","10€","Liquide","Payée","19/04/2021","Non","Oui","Bleue","60€","04/08/2021","Oui","Oui"
"415","Joly","Marcelle","3, impasse Blanchet","13200","Arles","laetitia.bousquet@gaillard.com","+33 (0)3 40 01 56 30","21/09/1982","Ferrand-sur-Gautier","10€","Liquide","Due","19/04/2021","Non","Oui","Bleue","30€","18/04/2021","Oui","Oui"
"416","Hebert","Hugues","99, place Véronique Sauvage","13200","Arles","marion.amelie@martel.fr","+33 5 94 54 26 98","07/11/1997","Martins","10€","Liquide","Payée","19/04/2021","Non","Oui","Dorée","90€"," /","Non","Oui"
"483","John","Marjor","25b rue Marcel Bramet","69500","BRON","marjorieme@hotmail.com","33616912700","12/12/1980","dfsdf","12€","chèque","due","27/04/2021","Oui","Non"," /"," /"," /","Non","Non"
"484","MEZIERE","Marjorie","25b rue Marcel Bramet","69500","BRON","marjorieme@hotmail.com","33616912792","12/12/1980","sdsd","€","liquide","due","27/04/2021","Oui","Non"," /"," /"," /","Non","Non"
"485","MEZIERE","Marjorie","25b rue Marcel Bramet","69500","BRON","marjorieme@hotmail.com","33616912792","12/12/1990","fsdfqsdf","€","","due","27/04/2021","Oui","Non"," /"," /"," /","Non","Non"
"486","MEZIERE","Marjorie","25b rue Marcel Bramet","69500","BRON","marjorieme@hotmail.com","33616912792","12/12/1990","lolo","€","","due","27/04/2021","Non","Non"," /"," /"," /","Non","Non"
"487","MEZIERE","Marjorie","25b rue Marcel Bramet","69500","BRON","","33616912792","12/12/1990","fdgfdfg","€","","due","27/04/2021","Non","Non"," /"," /"," /","Non","Non"
"488","MEZIERE","Marjorie","25b rue Marcel Bramet","69500","BRON","fdfdfdfgdfg","33616912792","12/12/1990","bvnvbnv","12€","cb","payée","27/04/2021","Non","Non"," /"," /"," /","Non","Non"
"489","MEZIERE","Marjorie","25b rue Marcel Bramet","69500","BRON","marjorieme@hotmail.com","33616912792","12/12/1990","dfsdfsdf","€","","exonéré","27/04/2021","Non","Non"," /"," /"," /","Non","Non"
"490","MEZIERE","Marjorie","25b rue Marcel Bramet","69500","BRON","marjorieme@hotmail.com","0616912792","12/12/1990","dqsdq","12€","cb","payée","27/04/2021","Non","Oui","verte","60€","12/12/1990","Non","Non"
"491","Barre","Jeanne","52 rue des fleurs","75100","Paris","marjorieme@hotmail.com","0616912792","12/12/1990","popo","12€","cb","payée","29/04/2021","Non","Oui","verte","30€","12/12/2021","Non","Non"
"492","MEZIERE","Marjorie","25b rue Marcel Bramet","69500","BRON","marjorieme@hotmail.com","0616912792","12/12/1990","fgdfgd","12€","liquide","payée","29/04/2021","Oui","Non"," /"," /"," /","Non","Non"
"493","Mimi","Marc","52 rue des fleurs","75100","Arles","marjorieme@hotmail.com","0916912792","12/12/2000","Arles","12€","liquide","due","30/04/2021","Non","Oui","verte","60€"," /","Non","Oui"
